,Batsman,Mode of Dismissal,Runs Scored,Balls Faced,Fours,Sixes,Strike Rate,Innings,Location,Date,Batting Position,Format,Year,Match,Series
3549,Brendon McCullum,not out,76,95,6,2,80.00,2,"Narendra Modi Stadium, Ahmedabad","Mar 04, 09:30 AM LOCAL",2,,2011,"New Zealand vs Zimbabwe, 18th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3550,Tamim Iqbal,c D Sammy b K Roach,0,3,0,0,0.00,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",1,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3551,Imrul Kayes,c D Thomas b D Sammy,5,8,0,0,62.50,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",2,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3552,Zunaed Siddique,lbw b K Roach,25,27,4,0,92.59,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",3,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3553,Mushfiqur Rahim,c R Sarwan b D Sammy,0,4,0,0,0.00,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",4,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3554,Shakib Al Hasan,b S Benn,8,16,1,0,50.00,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",5,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3555,Raqibul Hasan,c K Pollard b D Sammy,4,17,0,0,23.53,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",6,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3556,Mohammad Ashraful,c D Thomas b K Roach,11,21,2,0,52.38,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",7,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3557,Naeem Islam,c D Thomas b S Benn,1,4,0,0,25.00,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",8,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3558,Shafiul Islam,c K Pollard b S Benn,0,6,0,0,0.00,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",9,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3559,Abdur Razzak,not out,2,6,0,0,33.33,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",10,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3560,Rubel Hossain,b S Benn,0,2,0,0,0.00,1,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",11,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3561,Devon Smith,b N Islam,6,12,1,0,50.00,2,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",1,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3562,Chris Gayle,not out,37,36,6,0,102.78,2,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",2,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3563,Darren Bravo,not out,9,26,1,0,34.62,2,"Shere Bangla National Stadium, Dhaka","Mar 04, 02:30 PM LOCAL",3,,2011,"Bangladesh vs West Indies, 19th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3564,Upul Tharanga,c S Smith b B Lee,6,18,0,0,33.33,1,"R.Premadasa Stadium, Colombo","Mar 05, 02:30 PM LOCAL",1,,2011,"Sri Lanka vs Australia, 20th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3565,Tillakaratne Dilshan,c C White b S Tait,4,4,1,0,100.00,1,"R.Premadasa Stadium, Colombo","Mar 05, 02:30 PM LOCAL",2,,2011,"Sri Lanka vs Australia, 20th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3566,Kumar Sangakkara,not out,73,102,7,0,71.57,1,"R.Premadasa Stadium, Colombo","Mar 05, 02:30 PM LOCAL",3,,2011,"Sri Lanka vs Australia, 20th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3567,Mahela Jayawardene,run out (S Smith),23,25,3,0,92.00,1,"R.Premadasa Stadium, Colombo","Mar 05, 02:30 PM LOCAL",4,,2011,"Sri Lanka vs Australia, 20th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3568,Thilan Samaraweera,not out,34,48,2,0,70.83,1,"R.Premadasa Stadium, Colombo","Mar 05, 02:30 PM LOCAL",5,,2011,"Sri Lanka vs Australia, 20th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3569,Sir Andrew Strauss,c de Villiers b R Peterson,0,3,0,0,0.00,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",1,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3570,Kevin Pietersen,c J Kallis b R Peterson,2,3,0,0,66.67,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",2,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3571,Jonathan Trott,c & b I Tahir,52,94,3,0,55.32,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",3,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3572,Ian Bell,c & b R Peterson,5,7,1,0,71.43,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",4,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3573,Ravi Bopara,lbw b M Morkel,60,98,3,1,61.22,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",5,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3574,Matt Prior,c M Wyk b M Morkel,10,19,1,0,52.63,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",6,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3575,Michael Yardy,c R Peterson b I Tahir,3,17,0,0,17.65,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",7,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3576,Tim Bresnan,lbw b D Steyn,1,4,0,0,25.00,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",8,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3577,Graeme Swann,c J Duminy b I Tahir,16,20,3,0,80.00,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",9,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3578,Stuart Broad,lbw b I Tahir,0,3,0,0,0.00,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",10,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3579,James Anderson,not out,2,6,0,0,33.33,1,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",11,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3580,Hashim Amla,b S Broad,42,51,2,0,82.35,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",1,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3581,Graeme Smith,c M Prior b G Swann,22,41,2,0,53.66,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",2,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3582,Jacques Kallis,c M Prior b S Broad,15,20,3,0,75.00,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",3,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3583,AB de Villiers,b J Anderson,25,44,0,0,56.82,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",4,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3584,Faf du Plessis,run out (I Bell/M Prior),17,38,2,0,44.74,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",5,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3585,Jean-Paul Duminy,b J Anderson,0,4,0,0,0.00,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",6,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3586,Morne van Wyk,b T Bresnan,13,37,0,0,35.14,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",7,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3587,Robin Peterson,c M Prior b M Yardy,3,16,0,0,18.75,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",8,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3588,Dale Steyn,lbw b S Broad,20,31,3,0,64.52,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",9,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3589,Morne Morkel,c M Prior b S Broad,1,3,0,0,33.33,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",10,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3590,Imran Tahir,not out,1,1,0,0,100.00,2,"MA Chidambaram Stadium, Chennai","Mar 06, 09:30 AM LOCAL",11,,2011,"England vs South Africa, 21st Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3591,William Porterfield,c H Singh b Y Singh,75,104,6,1,72.12,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",1,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3592,Paul Stirling,b Z Khan,0,1,0,0,0.00,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",2,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3593,Ed Joyce,c M Dhoni b Z Khan,4,5,1,0,80.00,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",3,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3594,Niall O Brien,run out (V Kohli/M Dhoni),46,78,3,0,58.97,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",4,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3595,Andrew White,c M Dhoni b Y Singh,5,10,0,0,50.00,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",5,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3596,Kevin O Brien,c & b Y Singh,9,13,1,0,69.23,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",6,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3597,Alex Cusack,lbw b Y Singh,24,30,3,0,80.00,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",7,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3598,John Mooney,lbw b Y Singh,5,17,0,0,29.41,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",8,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3599,Trent Johnston,lbw b M Patel,17,20,2,0,85.00,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",9,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3600,George Dockrell,c M Dhoni b Z Khan,3,10,0,0,30.00,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",10,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3601,Boyd Rankin,not out,1,1,0,0,100.00,1,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",11,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3602,Virender Sehwag,c & b T Johnston,5,3,1,0,166.67,2,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",1,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3603,Sachin Tendulkar,lbw b G Dockrell,38,56,4,0,67.86,2,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",2,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3604,Gautam Gambhir,c A Cusack b T Johnston,10,15,2,0,66.67,2,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",3,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3605,Virat Kohli,run out (G Dockrell/K O'Brien),34,53,3,0,64.15,2,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",4,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3606,Yuvraj Singh,not out,50,75,3,0,66.67,2,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",5,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3607,MS Dhoni,lbw b G Dockrell,34,50,2,0,68.00,2,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",6,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3608,Yusuf Pathan,not out,30,24,2,3,125.00,2,"M.Chinnaswamy Stadium, Bengaluru","Mar 06, 02:30 PM LOCAL",7,,2011,"India vs Ireland, 22nd Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3609,Morris Ouma,c H Baidwan b H Osinde,0,2,0,0,0.00,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",1,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3610,Seren Waters,b H Osinde,2,13,0,0,15.38,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",2,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3611,Collins Obuya,b H Baidwan,31,35,3,1,88.57,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",3,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3612,David Obuya,c A Bagai b H Osinde,2,8,0,0,25.00,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",4,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3613,Steve Tikolo,lbw b R Cheema,12,20,1,0,60.00,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",5,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3614,Tanmay Mishra,c Z Surkari b J Davison,51,73,3,0,69.86,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",6,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3615,Jimmy Kamande,c A Bagai b B Rao,22,58,3,0,37.93,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",7,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3616,Thomas Odoyo,b H Baidwan,51,62,5,1,82.26,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",8,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3617,Nehemiah Odhiambo,b H Osinde,4,9,0,0,44.44,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",9,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3618,Elijah Otieno,c J Hansra b R Cheema,8,17,1,0,47.06,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",10,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3619,James Ngoche,not out,1,3,0,0,33.33,1,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",11,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3620,Ruvindu Gunasekera,st M Ouma b J Ngoche,18,27,3,0,66.67,2,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",1,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3621,Rizwan Cheema,b E Otieno,17,13,2,1,130.77,2,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",2,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3622,Zubin Surkari,run out (J Kamande),10,26,1,0,38.46,2,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",3,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3623,Ashish Bagai,not out,64,97,7,0,65.98,2,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",4,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3624,Jimmy Hansra,c J Ngoche b N Odhiambo,70,99,7,2,70.71,2,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",5,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3625,Tyson Gordon,b N Odhiambo,3,11,0,0,27.27,2,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",6,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3626,John Davison,not out,4,1,1,0,400.00,2,"Arun Jaitley Stadium, Delhi","Mar 07, 02:30 PM LOCAL",7,,2011,"Kenya vs Canada, 23rd Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3627,Martin Guptill,b S Afridi,57,86,6,0,66.28,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",1,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3628,Brendon McCullum,b S Akhtar,6,3,0,1,200.00,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",2,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3629,Jamie How,lbw b U Gul,4,29,0,0,13.79,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",3,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3630,Ross Taylor,not out,131,124,8,7,105.65,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",4,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3631,James Franklin,lbw b M Hafeez,1,2,0,0,50.00,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",5,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3632,Scott Styris,lbw b U Gul,28,37,1,0,75.68,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",6,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3633,Nathan McCullum,b U Gul,19,10,1,2,190.00,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",7,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3634,Jacob Oram,c U Gul b A Rehman,25,9,1,3,277.78,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",8,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3635,Kyle Mills,not out,7,3,1,0,233.33,1,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",9,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3636,Mohammad Hafeez,lbw b T Southee,5,6,1,0,83.33,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",1,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3637,Ahmed Shehzad,lbw b K Mills,10,16,1,0,62.50,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",2,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3638,Kamran Akmal,c R Taylor b T Southee,8,16,1,0,50.00,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",3,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3639,Younis Khan,b K Mills,0,3,0,0,0.00,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",4,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3640,Misbah-ul-Haq,c S Styris b T Southee,7,31,0,0,22.58,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",5,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3641,Umar Akmal,c J Oram b N McCullum,38,58,3,0,65.52,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",6,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3642,Shahid Afridi,b J Oram,17,9,2,1,188.89,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",7,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3643,Abdul Razzaq,c J Oram b S Styris,62,74,9,0,83.78,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",8,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3644,Abdur Rehman,lbw b N McCullum,1,10,0,0,10.00,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",9,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3645,Umar Gul,not out,34,25,3,1,136.00,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",10,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3646,Shoaib Akhtar,c N McCullum b S Styris,0,2,0,0,0.00,2,"Pallekele International Cricket Stadium, Pallekele","Mar 08, 02:30 PM LOCAL",11,,2011,"Pakistan vs New Zealand, 24th Match, Group A - Live Cricket Score, Commentary",ICC World Cup 2011
3647,Eric Szwarczynski,b P Chawla,28,42,4,0,66.67,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",1,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3648,Wesley Barresi,lbw b Y Singh,26,58,2,0,44.83,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",2,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3649,Tom Cooper,c M Dhoni b A Nehra,29,47,2,0,61.70,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",3,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3650,Ryan ten Doeschate,c Z Khan b Y Singh,11,28,1,0,39.29,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",4,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3651,Alexei Kervezee,c H Singh b P Chawla,11,23,1,0,47.83,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",5,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3652,Bas Zuiderent,lbw b Z Khan,0,6,0,0,0.00,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",6,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3653,Tom de Grooth,run out (P Chawla/M Dhoni),5,11,0,0,45.45,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",7,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3654,Peter Borren,c A Nehra b Z Khan,38,36,3,2,105.56,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",8,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3655,Bradley Kruger,run out (V Kohli/M Dhoni),8,12,1,0,66.67,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",9,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3656,Mudassar Bukhari,b Z Khan,21,18,1,2,116.67,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",10,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
3657,Pieter Seelaar,not out,0,0,0,0,0.00,1,"Arun Jaitley Stadium, Delhi","Mar 09, 02:30 PM LOCAL",11,,2011,"India vs Netherlands, 25th Match, Group B - Live Cricket Score, Commentary",ICC World Cup 2011
